a0,a2,a3,a4,a7,a10,class
396.221689,0.110689,8.718803,0.002333,-0.591658,1680177.25,CS
400.164601,0.105843,8.700828,0.002108,-0.600722,1687135.335,CS
398.924587,0.105272,8.709397,0.002108,-0.678661,1605182.932,CS
381.243555,0.103871,8.670049,0.002433,-0.583349,1386750.932,CS
351.480136,0.114658,8.582397,0.003126,-0.543826,1331166.026,CS
321.594515,0.117986,8.503956,0.004562,-0.41864,967800.8313,CS
199.979301,0.13251,8.244246,0.014603,-0.313583,332595.9734,CS
193.016336,0.13057,8.167488,0.023052,-0.280653,272990.3232,CS
186.253478,0.12801,8.160409,0.030031,-0.248547,221298.4965,D
199.198128,0.148453,8.348736,0.019451,-0.251428,375399.1323,D
208.652037,0.164281,8.294441,0.010187,-0.405838,505940.7611,D
322.962586,0.154173,8.467164,0.004264,-0.523526,1311067.614,D
255.697929,0.156331,8.384266,0.015973,-0.378425,593471.0635,D
259.388623,0.150721,8.397083,0.015364,-0.381291,616828.4571,D
271.30028,0.151617,8.407412,0.014457,-0.328008,683286.7256,D
263.783697,0.148796,8.400675,0.014014,-0.338973,678087.2586,D
250.65602,0.147448,8.389786,0.013651,-0.327938,618352.2682,D
254.775477,0.150674,8.378386,0.013432,-0.343643,653176.829,D
260.91212,0.146799,8.388934,0.012879,-0.314594,666464.9545,D
260.764557,0.146876,8.386662,0.012513,-0.277166,675060.8082,D
263.840877,0.145653,8.383497,0.011874,-0.302779,676626.0737,D
210.979826,0.137878,8.47589,0.013397,-0.224518,404499.22,D
249.83226,0.147201,8.365419,0.011611,-0.395873,626598.4797,D
315.018706,0.132116,8.650262,0.009349,0.157519,870562.2359,D
320.49655,0.132654,8.627343,0.006602,0.21414,991674.3485,D
305.39651,0.151376,8.624365,0.003874,-0.042786,803106.5533,D
323.407861,0.153305,8.615189,0.00357,0.036494,970908.4448,D
293.234591,0.142548,8.652287,0.004275,0.041721,767507.6667,D
222.566541,0.128742,8.653369,0.006005,0.027675,440126.7899,D
223.64475,0.136244,8.565356,0.008212,0.171782,454609.2716,D
210.749217,0.137004,8.581965,0.009644,-0.010913,365128.5335,D
221.157411,0.138317,8.584031,0.010432,-0.085739,432317.4319,D
232.075149,0.127226,8.625009,0.008829,-0.273331,459346.1874,D
