a0,a1,a2,a3,a4,class
3169.7136,1590.9597,973.385,15.721292,84.693565,D
3199.0628,1590.9597,953.9173,15.265756,85.615419,D
3199.0628,1590.9597,953.9173,15.157466,85.615419,D
3199.0628,1590.9597,953.9173,15.099641,85.615419,D
2993.6184,1767.733,953.9173,15.734869,86.284413,D
3199.0628,1590.9597,953.9173,15.267859,85.615419,D
2788.174,1783.8033,895.5142,11.416191,88.238314,D
2758.8248,1767.733,876.0465,10.996765,87.595662,D
2817.5232,1719.5221,895.5142,12.369619,84.75848,D
2846.8724,1719.5221,895.5142,12.927752,84.599054,D
2846.8724,1719.5221,895.5142,13.168796,84.291162,D
2964.2692,1703.4518,934.4496,15.148855,82.28001,D
2846.8724,1751.6627,895.5142,12.809715,86.406018,D
2934.92,1703.4518,934.4496,15.221896,82.565126,D
2964.2692,1703.4518,934.4496,15.063169,82.377181,D
2993.6184,1751.6627,934.4496,15.904534,85.287748,D
2846.8724,1719.5221,934.4496,14.390078,84.646323,D
2817.5232,1735.5924,934.4496,12.456408,85.79627,D
2817.5232,1735.5924,934.4496,12.31926,85.79627,D
2788.174,1735.5924,934.4496,11.751495,86.452299,D
2788.174,1751.6627,914.9819,11.376416,87.114867,D
2788.174,1751.6627,914.9819,11.376416,87.114867,D
2788.174,1751.6627,914.9819,11.314472,87.114867,D
2758.8248,1767.733,914.9819,10.80991,88.526832,D
2758.8248,1767.733,914.9819,10.629957,88.526832,D
2524.0312,1623.1003,661.9018,4.395437,92.347171,D
2964.2692,1751.6627,934.4496,15.788279,85.375641,D
2524.0312,1623.1003,681.3695,4.907503,91.005494,D
3022.9676,1815.9439,681.3695,5.076715,88.073833,D
2993.6184,1799.8736,681.3695,5.088799,87.321246,D
2993.6184,1783.8033,681.3695,5.167968,86.348133,D
2993.6184,1783.8033,681.3695,5.167968,86.348133,D
3022.9676,1783.8033,681.3695,5.202516,86.284413,D
2993.6184,1751.6627,661.9018,5.379603,84.403791,D
2993.6184,1751.6627,661.9018,5.363377,84.403791,D
2993.6184,1751.6627,661.9018,5.440182,84.403791,D
2934.92,1751.6627,661.9018,5.357539,84.899941,D
2934.92,1767.733,934.4496,14.798288,86.371292,D
2934.92,1751.6627,661.9018,5.352193,84.899941,D
3287.1104,1574.8894,1012.3204,13.927434,87.800911,D
3345.8088,1542.7488,1012.3204,12.621979,90.801982,D
3375.158,1542.7488,992.8527,12.588285,91.400219,D
3375.158,1558.8191,992.8527,12.422444,91.021975,D
3375.158,1542.7488,973.385,12.488656,91.400219,D
3345.8088,1542.7488,973.385,12.857578,90.603532,D
3345.8088,1558.8191,973.385,12.98931,90.801982,D
3345.8088,1558.8191,973.385,13.064085,90.801982,D
3345.8088,1574.8894,973.385,13.313757,90.338253,D
2934.92,1783.8033,934.4496,14.672445,87.281155,D
3257.7612,1590.9597,973.385,14.612406,87.206651,D
3228.412,1590.9597,992.8527,15.231836,86.539009,D
3228.412,1590.9597,973.385,14.996186,86.539009,D
3228.412,1607.03,973.385,13.969021,86.162637,D
3228.412,1607.03,973.385,13.545497,86.162637,D
3345.8088,1607.03,992.8527,11.907674,90.094395,D
3287.1104,1623.1003,1012.3204,12.238674,86.977008,D
3257.7612,1639.1706,992.8527,12.87643,86.452299,D
3345.8088,1655.2409,953.9173,11.417971,90.60905,D
3316.4596,1639.1706,934.4496,12.221503,89.442719,D
2934.92,1783.8033,934.4496,14.850489,87.281155,D
3345.8088,1623.1003,934.4496,12.522783,90.255194,D
3257.7612,1526.6785,934.4496,14.509294,88.769364,D
3257.7612,1510.6082,934.4496,13.988841,89.643739,D
3257.7612,1542.7488,934.4496,14.59817,88.549421,D
3199.0628,1526.6785,934.4496,15.030155,87.235314,D
3169.7136,1510.6082,953.9173,15.295399,87.206651,D
3169.7136,1510.6082,953.9173,15.397745,87.200917,D
3169.7136,1510.6082,953.9173,15.560914,87.200917,D
3140.3644,1558.8191,953.9173,16.643139,84.581322,D
3081.666,1542.7488,953.9173,17.002538,83.408633,D
2905.5708,1799.8736,914.9819,14.502531,88.391176,D
3081.666,1510.6082,953.9173,16.263994,84.899941,D
3228.412,1590.9597,914.9819,15.00619,85.959293,D
3199.0628,1590.9597,914.9819,15.470426,85.08819,D
3169.7136,1607.03,934.4496,16.159408,83.725743,D
3228.412,1655.2409,934.4496,14.831423,86.683332,D
3199.0628,1655.2409,934.4496,15.267263,85.440037,D
3140.3644,1655.2409,953.9173,16.111412,83.240615,D
3111.0152,1655.2409,973.385,16.457834,82.32861,D
3081.666,1639.1706,973.385,17.066178,81.043198,D
3081.666,1639.1706,973.385,17.004312,81.541401,D
2905.5708,1799.8736,914.9819,14.637663,88.391176,D
3052.3168,1607.03,992.8527,17.772144,80.361682,D
3169.7136,1687.3815,934.4496,16.636127,84.077345,D
3111.0152,1639.1706,953.9173,18.630757,82.006097,D
3228.412,1655.2409,934.4496,15.799913,86.648716,D
3228.412,1687.3815,934.4496,16.178607,86.127812,D
3228.412,1687.3815,934.4496,16.169907,86.209048,D
3199.0628,1687.3815,953.9173,16.775722,85.211502,D
3228.412,1719.5221,934.4496,15.685669,86.371292,D
3169.7136,1671.3112,953.9173,17.306643,84.148678,D
3199.0628,1703.4518,934.4496,16.199277,84.118963,DD
2846.8724,1832.0142,914.9819,13.405513,90.426766,DD
3257.7612,1815.9439,837.1111,6.907317,93.005376,DD
3081.666,1719.5221,953.9173,16.896727,83.952367,DD
3228.412,1623.1003,953.9173,16.509375,85.702975,DD
3199.0628,1623.1003,953.9173,17.001656,84.75848,DD
3199.0628,1623.1003,953.9173,16.930856,84.75848,DD
3169.7136,1607.03,953.9173,17.288965,84.15462,DD
3169.7136,1607.03,953.9173,17.452191,84.15462,DD
3169.7136,1607.03,953.9173,17.494605,84.308956,DD
3169.7136,1623.1003,953.9173,17.571856,83.815273,DD
3169.7136,1623.1003,953.9173,17.571856,83.815273,DD
3169.7136,1623.1003,973.385,17.4457,83.815273,DD
2876.2216,1815.9439,914.9819,14.009736,89.022469,DD
3169.7136,1623.1003,973.385,17.321789,83.934498,DD
2846.8724,1687.3815,895.5142,13.580357,83.09633,DD
2876.2216,1687.3815,895.5142,13.661991,82.462113,DD
2876.2216,1687.3815,876.0465,13.593992,82.462113,DD
2876.2216,1719.5221,876.0465,12.611978,84.15462,DD
2876.2216,1735.5924,876.0465,12.206262,85.094066,DD
2201.19,2089.139,661.9018,2.573618,115.74541,DD
2846.8724,1735.5924,953.9173,12.712514,85.440037,DD
2729.4756,1751.6627,895.5142,11.424293,88.45903,DD
2700.1264,1767.733,895.5142,11.069474,89.274856,DD
3169.7136,1928.436,837.1111,5.374151,95.462034,DD
2700.1264,1783.8033,895.5142,10.728473,90.785461,DD
2729.4756,1815.9439,895.5142,11.014336,89.470666,DD
2700.1264,1815.9439,895.5142,10.583192,90.376988,DD
2700.1264,1864.1548,876.0465,10.277437,91.678787,DD
2729.4756,1864.1548,895.5142,10.709773,90.785461,DD
2729.4756,1880.2251,895.5142,10.616882,91.241438,DD
2700.1264,1880.2251,895.5142,9.928168,92.130342,DD
2934.92,1751.6627,661.9018,5.352193,84.899941,DD
2934.92,1751.6627,661.9018,5.34364,84.899941,DD
2934.92,1751.6627,661.9018,5.371438,84.899941,DD
3287.1104,1912.3657,817.6434,6.019461,91.005494,DD
2934.92,1735.5924,681.3695,5.556974,83.934498,DD
2905.5708,1735.5924,700.8372,5.636921,84.202138,DD
2905.5708,1735.5924,720.3049,5.808659,84.202138,DD
2876.2216,1815.9439,661.9018,4.647196,89.810912,DD
2876.2216,1815.9439,661.9018,4.748472,89.810912,DD
2905.5708,1815.9439,681.3695,4.886187,89.493016,DD
2905.5708,1799.8736,681.3695,5.125198,88.543774,DD
3287.1104,1542.7488,895.5142,13.102926,89.554453,DD
3228.412,1542.7488,914.9819,14.081856,87.618491,DD
3199.0628,1510.6082,934.4496,14.682186,87.800911,DD
3316.4596,1896.2954,817.6434,6.324661,91.219515,DD
3199.0628,1478.4676,914.9819,12.763455,89.403579,DD
3228.412,1446.327,934.4496,11.210751,91.60786,DD
3169.7136,1414.1864,934.4496,10.560958,92.086915,DD
3081.666,1398.1161,934.4496,9.761169,92.02717,DD
3052.3168,1382.0458,934.4496,9.445691,92.763139,DD
3052.3168,1430.2567,953.9173,10.416914,89.84431,DD
3052.3168,1462.3973,973.385,10.757368,87.931792,DD
3111.0152,1446.327,973.385,10.46812,89.554453,DD
3111.0152,1478.4676,973.385,10.462218,87.726849,DD
3052.3168,1446.327,973.385,11.147403,88.865066,DD
3316.4596,1880.2251,817.6434,6.659651,91.005494,DD
3052.3168,1430.2567,973.385,10.892987,89.822046,DD
3052.3168,1414.1864,973.385,10.597452,90.801982,DD
3022.9676,1430.2567,973.385,11.059408,89.627005,DD
2964.2692,1430.2567,953.9173,10.916458,89.358827,DD
2934.92,1414.1864,934.4496,10.549419,90.448881,DD
2905.5708,1414.1864,934.4496,9.962095,90.60905,DD
2964.2692,1414.1864,953.9173,9.617044,90.354856,DD
2964.2692,1478.4676,973.385,11.147527,86.371292,DD
2993.6184,1494.5379,992.8527,11.379485,85.510233,DD
3022.9676,1510.6082,992.8527,11.587601,84.75848,DD
3257.7612,1880.2251,837.1111,6.203603,96.260064,DD
2993.6184,1526.6785,992.8527,12.011278,83.546394,DD
3169.7136,1462.3973,914.9819,13.67158,87.726849,DD
3169.7136,1462.3973,914.9819,13.088437,89.627005,DD
3169.7136,1462.3973,914.9819,13.276134,89.196412,DD
3169.7136,1462.3973,914.9819,13.252887,89.196412,DD
3169.7136,1446.327,895.5142,12.998094,90.138782,DD
3140.3644,1446.327,895.5142,13.167693,89.810912,DD
3257.7612,1526.6785,895.5142,13.580801,89.06739,DD
3228.412,1510.6082,895.5142,13.733494,88.684835,DD
3228.412,1494.5379,895.5142,13.544301,89.308454,DD
3257.7612,1864.1548,817.6434,6.284299,95.441081,DD
3199.0628,1478.4676,895.5142,13.479575,89.375612,DD
3081.666,1607.03,973.385,17.173427,81.301907,DD
3081.666,1607.03,953.9173,17.058201,81.498466,DD
3081.666,1607.03,953.9173,16.91117,81.584312,DD
3081.666,1590.9597,953.9173,16.292734,81.859636,DD
3081.666,1590.9597,953.9173,16.226873,81.932899,DD
3052.3168,1574.8894,953.9173,16.607875,81.344945,DD
3052.3168,1558.8191,953.9173,16.514525,82.07923,DD
3052.3168,1558.8191,953.9173,16.685596,82.28001,DD
3052.3168,1574.8894,953.9173,17.412383,81.492331,DD
3228.412,1848.0845,817.6434,6.483196,94.04786,DD
3052.3168,1574.8894,953.9173,18.097971,81.301907,DD
3081.666,1687.3815,973.385,17.502532,82.734515,DD
3081.666,1687.3815,973.385,17.511539,82.734515,DD
3081.666,1687.3815,973.385,17.585846,82.734515,DD
3081.666,1703.4518,973.385,17.45244,83.450584,DD
3081.666,1703.4518,973.385,17.648311,83.450584,DD
3081.666,1703.4518,973.385,17.589047,83.737686,DD
3081.666,1735.5924,953.9173,16.330079,84.958814,DD
3081.666,1735.5924,953.9173,16.420948,84.593144,DD
3081.666,1719.5221,953.9173,16.804134,83.743656,ESCS
2993.6184,1607.03,953.9173,19.474918,78.873316,ESCS
2993.6184,1590.9597,973.385,20.703613,79.555012,ESCS
2641.428,1623.1003,739.7726,8.462388,87.091905,ESCS
2993.6184,1590.9597,973.385,20.776137,79.649231,ESCS
2993.6184,1590.9597,953.9173,19.633043,79.649231,ESCS
3022.9676,1590.9597,953.9173,19.204603,80.280757,ESCS
3022.9676,1590.9597,953.9173,18.947522,80.280757,ESCS
3052.3168,1590.9597,953.9173,18.131912,81.055537,ESCS
3022.9676,1590.9597,934.4496,18.004091,80.280757,ESCS
2993.6184,1574.8894,914.9819,17.450973,80.529498,ESCS
3052.3168,1623.1003,914.9819,17.564228,80.411442,ESCS
3052.3168,1735.5924,914.9819,16.07162,84.480767,ESCS
2993.6184,1607.03,953.9173,19.612423,78.873316,ESCS
3052.3168,1703.4518,934.4496,17.382316,82.492424,ESCS
2758.8248,1687.3815,817.6434,9.778492,85.445889,ESCS
2729.4756,1687.3815,817.6434,9.877996,86.267027,ESCS
2700.1264,1687.3815,817.6434,9.748811,87.132084,ESCS
2612.0788,1671.3112,798.1757,9.355639,89.050547,ESCS
2700.1264,1703.4518,798.1757,9.942704,87.664132,ESCS
2641.428,1687.3815,798.1757,9.736736,89.196412,ESCS
2582.7296,1671.3112,798.1757,9.627244,90.75792,ESCS
2553.3804,1671.3112,798.1757,9.400798,91.706052,ESCS
2524.0312,1655.2409,798.1757,9.345726,92.347171,ESCS
2993.6184,1607.03,953.9173,19.545529,78.873316,ESCS
2700.1264,1671.3112,798.1757,10.905831,86.815897,ESCS
2670.7772,1655.2409,798.1757,10.668791,87.321246,ESCS
2612.0788,1655.2409,798.1757,10.090476,89.319651,ESCS
2582.7296,1671.3112,778.708,9.728646,90.476516,ESCS
2582.7296,1687.3815,778.708,9.636807,91.08238,ESCS
2729.4756,1735.5924,798.1757,10.971911,87.726849,ESCS
2729.4756,1767.733,798.1757,10.400252,89.196412,ESCS
2729.4756,1799.8736,798.1757,9.842059,90.686272,ESCS
2700.1264,1799.8736,798.1757,9.253114,91.438504,ESCS
2700.1264,1799.8736,798.1757,8.882225,91.416629,ESCS
3022.9676,1607.03,953.9173,19.427493,79.711982,ESCS
2700.1264,1815.9439,798.1757,8.223194,92.282176,ESCS
2876.2216,1783.8033,739.7726,8.127487,87.367042,ESCS
2846.8724,1767.733,739.7726,8.239881,87.091905,ESCS
2788.174,1751.6627,739.7726,8.471877,87.418533,ESCS
2670.7772,1848.0845,720.3049,7.18491,93.605555,ESCS
2641.428,1832.0142,720.3049,7.654457,92.698436,ESCS
2612.0788,1783.8033,739.7726,8.235377,90.249654,ESCS
2582.7296,1735.5924,759.2403,8.33861,87.846457,ESCS
2494.682,1590.9597,700.8372,5.541595,93.407708,ESCS
2582.7296,1558.8191,681.3695,5.826755,91.093359,ESCS
3022.9676,1607.03,973.385,19.998747,79.711982,ESCS
2582.7296,1671.3112,642.4341,6.342632,83.773504,ESCS
2582.7296,1671.3112,642.4341,6.342632,83.773504,ESCS
2582.7296,1671.3112,642.4341,6.342632,83.773504,ESCS
2670.7772,1735.5924,661.9018,6.163254,89.498603,ESCS
2670.7772,1735.5924,661.9018,6.163254,89.498603,ESCS
2670.7772,1735.5924,681.3695,6.981045,89.498603,ESCS
2729.4756,1864.1548,622.9664,5.802675,94.154129,ESCS
2758.8248,1848.0845,661.9018,6.480911,92.84934,ESCS
2788.174,1928.436,700.8372,6.750184,96.602277,ESCS
2876.2216,1880.2251,739.7726,7.523071,93.037627,ESCS
3052.3168,1639.1706,953.9173,19.290681,80.305666,ESCS
2817.5232,2105.2093,681.3695,4.937161,106.606754,ESCS
3081.666,1398.1161,564.5633,3.3049,91.021975,ESCS
3022.9676,1398.1161,603.4987,3.498809,91.137259,ESCS
3022.9676,1382.0458,603.4987,3.50418,92.135769,ESCS
2993.6184,1349.9052,603.4987,3.424134,94.191295,ESCS
2964.2692,1558.8191,545.0956,4.568918,78.721026,ESCS
2964.2692,1542.7488,545.0956,4.381381,81.301907,ESCS
2964.2692,1510.6082,545.0956,4.328091,82.462113,ESCS
2964.2692,1494.5379,564.5633,4.500543,81.688432,ESCS
2934.92,1478.4676,564.5633,4.514741,81.987804,ESCS
3022.9676,1623.1003,953.9173,19.68577,79.429214,ESCS
2934.92,1446.327,584.031,4.394787,84.646323,ESCS
2934.92,1430.2567,584.031,4.017921,89.453899,ESCS
2934.92,1430.2567,584.031,4.137342,89.453899,ESCS
2934.92,1398.1161,603.4987,4.294009,90.553851,ESCS
3022.9676,1590.9597,603.4987,5.632578,80.062476,ESCS
2964.2692,1558.8191,584.031,5.460855,81.024688,ESCS
2934.92,1526.6785,584.031,4.991782,83.192548,ESCS
2876.2216,1414.1864,603.4987,3.993818,90.376988,ESCS
2846.8724,1317.7646,603.4987,3.417798,96.25487,ESCS
2729.4756,1414.1864,584.031,3.76797,92.417531,ESCS
3022.9676,1607.03,953.9173,19.761028,79.711982,ESCS
2729.4756,1398.1161,584.031,3.804473,93.230896,ESCS
2964.2692,1590.9597,759.2403,11.500901,79.30952,ESCS
2964.2692,1590.9597,759.2403,11.448217,79.30952,ESCS
2964.2692,1607.03,759.2403,11.447468,78.39005,ESCS
2993.6184,1671.3112,739.7726,10.361883,79.120162,ESCS
2964.2692,1655.2409,739.7726,10.623151,78.243211,ESCS
2934.92,1639.1706,759.2403,10.6409,78.409183,ESCS
2905.5708,1639.1706,759.2403,10.264679,79.30952,ESCS
2876.2216,1623.1003,759.2403,9.831161,80.305666,ESCS
2846.8724,1623.1003,759.2403,9.393613,81.271151,ESCS
2993.6184,1590.9597,973.385,20.181243,79.555012,ESCS
2846.8724,1607.03,739.7726,9.275539,81.608823,ESCS
2964.2692,1655.2409,759.2403,10.14288,79.15807,ESCS
2934.92,1607.03,739.7726,10.103491,78.771822,ESCS
2905.5708,1607.03,759.2403,10.013313,79.649231,ESCS
2876.2216,1607.03,759.2403,9.817836,80.60397,ESCS
2846.8724,1607.03,759.2403,9.939915,81.584312,ESCS
2846.8724,1607.03,778.708,10.217285,81.498466,ESCS
2846.8724,1607.03,778.708,10.457459,81.498466,ESCS
2817.5232,1607.03,778.708,10.23941,82.462113,ESCS
2758.8248,1574.8894,759.2403,9.280717,84.599054,SCS
2876.2216,1703.4518,837.1111,12.636481,83.234608,SCS
2670.7772,1687.3815,837.1111,12.06417,87.920419,SCS
2934.92,1671.3112,973.385,19.30824,80.65358,SCS
2641.428,1655.2409,856.5788,12.68909,87.965902,SCS
2641.428,1623.1003,876.0465,13.385139,87.595662,SCS
2612.0788,1607.03,876.0465,13.061474,89.185201,SCS
2582.7296,1607.03,876.0465,12.972246,89.88882,SCS
2641.428,1671.3112,856.5788,13.180524,88.600226,SCS
2700.1264,1655.2409,876.0465,14.043159,86.469648,SCS
2729.4756,1655.2409,876.0465,14.330707,85.475143,SCS
2758.8248,1639.1706,895.5142,14.673688,84.380092,SCS
2788.174,1623.1003,895.5142,14.910882,83.294658,SCS
2846.8724,1687.3815,837.1111,12.71624,83.006024,SCS
2817.5232,1623.1003,914.9819,15.223294,82.377181,SCS
2817.5232,1558.8191,895.5142,14.444145,83.761566,SCS
2846.8724,1542.7488,895.5142,14.318134,83.815273,SCS
2934.92,1623.1003,992.8527,22.097567,78.447435,SCS
2905.5708,1639.1706,992.8527,21.637313,79.711982,SCS
2934.92,1639.1706,992.8527,22.257227,78.873316,SCS
2905.5708,1623.1003,992.8527,21.571773,79.429214,SCS
2876.2216,1639.1706,992.8527,20.461238,80.60397,SCS
2846.8724,1639.1706,973.385,19.448733,81.541401,SCS
2846.8724,1639.1706,973.385,19.078616,81.584312,SCS
2758.8248,1655.2409,798.1757,11.906068,84.380092,SCS
2846.8724,1655.2409,973.385,18.165423,81.939002,SCS
2846.8724,1671.3112,973.385,17.834819,82.462113,SCS
2846.8724,1655.2409,953.9173,17.654642,81.939002,SCS
3052.3168,1510.6082,934.4496,15.690725,85.094066,SCS
3022.9676,1510.6082,934.4496,15.678909,84.770278,SCS
2993.6184,1542.7488,953.9173,18.094442,82.565126,SCS
2934.92,1510.6082,934.4496,16.228189,84.480767,SCS
2964.2692,1542.7488,914.9819,15.8841,82.38932,SCS
3022.9676,1526.6785,914.9819,14.669176,83.815273,SCS
3022.9676,1558.8191,895.5142,15.142061,81.939002,SCS
2758.8248,1655.2409,798.1757,11.906068,84.380092,SCS
2993.6184,1590.9597,895.5142,17.072131,79.711982,SCS
2993.6184,1558.8191,934.4496,17.063011,81.608823,SCS
2905.5708,1703.4518,876.0465,12.750241,82.873397,SCS
2876.2216,1671.3112,876.0465,13.242338,81.394103,SCS
2876.2216,1671.3112,876.0465,13.529581,81.467785,SCS
2905.5708,1671.3112,876.0465,13.667554,81.055537,SCS
2905.5708,1687.3815,876.0465,13.304085,81.932899,SCS
2993.6184,1719.5221,876.0465,13.002487,82.637764,SCS
2993.6184,1719.5221,876.0465,12.613338,83.006024,SCS
2993.6184,1719.5221,876.0465,12.532806,83.006024,SCS
2729.4756,1639.1706,817.6434,11.917227,84.723078,SCS
2993.6184,1735.5924,856.5788,12.037194,83.934498,SCS
2964.2692,1767.733,856.5788,10.930578,86.122006,SCS
2553.3804,1703.4518,798.1757,8.353065,90.553851,SCS
2553.3804,1703.4518,778.708,8.803775,88.887569,SCS
2612.0788,1751.6627,778.708,8.664234,88.391176,SCS
2670.7772,1751.6627,798.1757,8.349239,89.627005,SCS
2700.1264,1735.5924,817.6434,9.082454,88.549421,SCS
2700.1264,1735.5924,817.6434,9.079505,88.549421,SCS
2670.7772,1719.5221,817.6434,8.88954,89,SCS
2641.428,1719.5221,817.6434,8.589447,89.899944,SCS
2700.1264,1623.1003,817.6434,11.916294,85.08819,SCS
2582.7296,1719.5221,798.1757,8.038191,91.706052,SCS
2582.7296,1719.5221,798.1757,8.018031,91.706052,SCS
2876.2216,1430.2567,545.0956,4.309436,87.863531,SCS
2846.8724,1590.9597,564.5633,5.121194,81.932899,SCS
2817.5232,1590.9597,564.5633,5.015716,82.873397,SCS
2788.174,1590.9597,564.5633,4.982605,83.815273,SCS
2758.8248,1590.9597,564.5633,5.098673,84.75848,SCS
2729.4756,1558.8191,564.5633,4.995109,86.37708,SCS
2700.1264,1542.7488,584.031,5.106228,87.664132,SCS
2700.1264,1542.7488,584.031,5.280714,87.664132,SCS
2700.1264,1623.1003,817.6434,11.900189,84.90583,SCS
